analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.010818,0.0106932,0.010683,0.010653,4.7557684272190355e-05,cuda,case118_ieee,mixed,0.011664,0.0115511,0.011541,0.011513,4.3907605010724555e-05,7.231799247573e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000861,0.0008574,0.00086,0.000846,5.641118880348321e-06,cuda_mixed_edge,True
0.017517,0.0168596,0.0167565,0.016735,0.00025146159415173836,cuda,case1354_pegase,mixed,0.019656,0.0189847,0.0188785,0.018857,0.0002569552706427933,6.583955602935e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.002138,0.0021243,0.002125,0.002115,6.8968591885485645e-06,cuda_mixed_edge,True
0.023306,0.0224177,0.022311,0.022182,0.0003319819439534494,cuda,case2746wop_k,mixed,0.025659,0.0247537,0.024652,0.024512,0.0003383456647999043,6.56815934974e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.002352,0.0023354,0.0023344999999999998,0.002325,7.676804890925192e-06,cuda_mixed_edge,True
0.010425,0.010276799999999999,0.010239999999999999,0.010222,7.712875238485625e-05,cuda,case30_ieee,mixed,0.011167,0.0110277,0.010994,0.010972,7.593718164085066e-05,2.592118365579e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.00076,0.0007508,0.00075,0.000742,4.589843860815605e-06,cuda_mixed_edge,True
0.033717,0.0322436,0.032027,0.031964,0.0005299966876206755,cuda,case4601_goc,mixed,0.037999,0.036499500000000004,0.0363095,0.036172,0.0005390607572435588,4.128619668364e-10,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.004283,0.0042556,0.0042635,0.004199,3.0236842868703706e-05,cuda_mixed_edge,True
0.014405,0.0140398,0.013988,0.013965,0.0001364769414793411,cuda,case793_goc,mixed,0.015683,0.0155187,0.0155465,0.015256,0.00011198119881876965,9.116650573349e-09,cuda_edge,5.7,edge_based,operators,cuda_edge,10,0.001564,0.0014785,0.001558,0.001277,0.00013179129123141808,cuda_mixed_edge,True
0.050071,0.0477925,0.047595,0.047348,0.0008077205581140048,cuda,case8387_pegase,mixed,0.056148,0.0539423,0.053675,0.053554,0.0007832182965176448,3.104943080423e-09,cuda_edge,7.0,edge_based,operators,cuda_edge,10,0.006287,0.0061493,0.0061245,0.00606,9.19891901861903e-05,cuda_mixed_edge,True
0.055148,0.0521444,0.0518005,0.051623,0.0010694985533209274,cuda,case9241_pegase,mixed,0.06244,0.0594901,0.0591395,0.059049,0.0010409718162477906,3.408006961705e-09,cuda_edge,8.0,edge_based,operators,cuda_edge,10,0.007457,0.0073454,0.007348,0.007243,9.580559018716565e-05,cuda_mixed_edge,True
