nd_label,run_name,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
auto,cuda_edge_nd_auto,0.010831,0.0107102,0.0106845,0.010662,5.9921800892682303e-05,cuda,case118_ieee,mixed,0.011609,0.0115016,0.011474999999999999,0.011454,5.763525155859207e-05,6.805669096454e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000804,0.0007909,0.000791,0.000778,9.503800409426862e-06,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,0.017281,0.016852,0.0167665,0.016735,0.00018777705456796972,cuda,case1354_pegase,mixed,0.019282,0.0188498,0.0187605,0.018723,0.0001920762580041814,8.971400788892e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.002014,0.0019976,0.002002,0.001973,1.4017449443065233e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,0.023075,0.0223678,0.022283999999999998,0.022165,0.00026920491988239865,cuda,case2746wop_k,mixed,0.025338,0.0246108,0.0245255,0.024393,0.0002769018277697387,1.13233426378e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002262,0.0022424,0.0022415,0.002226,1.1758684733705017e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,0.01045,0.010246,0.010221999999999998,0.01021,7.225264316579993e-05,cuda,case30_ieee,mixed,0.011136,0.0109326,0.0109085,0.010896,7.221141799527903e-05,2.601446840299e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000689,0.000686,0.000686,0.000683,1.6329931618554695e-06,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,0.033898,0.0323485,0.0321855,0.031978,0.000566502574280705,cuda,case4601_goc,mixed,0.038011,0.0364663,0.0363085,0.036083,0.0005670765282471939,4.32284874563e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004158,0.0041175000000000005,0.004111,0.004085,2.6340716264622234e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,0.014463,0.0140372,0.013979,0.013936,0.00015783803231301524,cuda,case793_goc,mixed,0.015924,0.0154729,0.015435500000000001,0.015156,0.00019037591467643424,8.77739397831e-09,cuda_edge,5.9,edge_based,end2end,cuda_edge,10,0.001477,0.001435,0.0014545,0.001211,7.922541679705234e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,0.050234,0.0477562,0.047503500000000004,0.047334,0.0008774867900240247,cuda,case8387_pegase,mixed,0.056187,0.0538098,0.0535105,0.053354,0.0008488774024819164,2.962828205e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.006217,0.006053,0.0059985,0.005933,0.00012179947089832166,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,0.054791,0.0521002,0.051754,0.051693,0.0009599995138887654,cuda,case9241_pegase,mixed,0.061891,0.0592833,0.0590315,0.058779,0.0009309026742301743,3.115953780587e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.007287,0.0071826,0.007186,0.007074,8.495122783757225e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,0.010936,0.0107176,0.010687,0.010653,9.358442415511484e-05,cuda,case118_ieee,mixed,0.01179,0.0115725,0.0115455,0.011497,9.525550436122368e-05,7.702033429773e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.00087,0.0008542000000000001,0.000854,0.00084,9.542885657214318e-06,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,0.01731,0.0168414,0.016779000000000002,0.016692,0.0001945314598950227,cuda,case1354_pegase,mixed,0.019411,0.0189556,0.018881,0.018811,0.0001912108783516255,9.226380002767e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.002133,0.0021135,0.0021155,0.002097,1.1692827811193609e-05,cuda_mixed_edge,True
